custom_regions,date,population,estimated_daily_excess_deaths_per_100k,estimated_daily_excess_deaths_ci_95_top_per_100k,estimated_daily_excess_deaths_ci_90_top_per_100k,estimated_daily_excess_deaths_ci_50_top_per_100k,estimated_daily_excess_deaths_ci_50_bot_per_100k,estimated_daily_excess_deaths_ci_90_bot_per_100k,estimated_daily_excess_deaths_ci_95_bot_per_100k,estimated_daily_excess_deaths_raw_estimate_per_100k,daily_excess_deaths_per_100k,daily_covid_deaths_per_100k
European Union,2020-01-27,447593544,-0.11417535672067168,-0.11417535672067168,-0.11417535672067168,-0.11417535672067168,-0.11417535672067168,-0.11417535672067168,-0.11417535672067168,-3.0827346314581354,-0.11417535672067168,0
North America,2020-01-27,375152636,-0.052808687926062185,-0.052808687926062185,-0.052808687926062185,-0.052808687926062185,-0.052808687926062185,-0.052808687926062185,-0.052808687926062185,-0.10561737585212437,-0.052808687926062185,0
Latin America and Caribbean,2020-02-03,655119303,0.00575385539779369,0.009263774297911908,0.00901882020476569,0.007417243632571204,0.005489203804280803,0.0038518727116513543,0.002801141567749547,0.29256999321894983,0.006095208192061454,0
Asia,2020-02-03,4666863690,0.025665786963433704,0.04811462655583709,0.04637993584264268,0.03263960148710886,0.014708449787864546,-0.01161436591168427,-0.019292442592735836,0.7015168361908181,0.014316670126343228,0.0010606695050054055
Oceania,2020-02-03,44446737,-0.011619513002081822,0.027244064404385187,0.0198103141992239,0.004024405905218883,-0.018994520672538262,-0.04074262413258906,-0.04240405019219588,-0.209019826703966,-0.009087818552346348,0
European Union,2020-02-03,447593544,-0.1740279696126634,-0.1740279696126634,-0.1740279696126634,-0.1740279696126634,-0.1740279696126634,-0.1740279696126634,-0.1740279696126634,-4.698755179541912,-0.1740279696126634,0
North America,2020-02-03,375152636,-0.03525392846619689,-0.03525392846619689,-0.03525392846619689,-0.03525392846619689,-0.03525392846619689,-0.03525392846619689,-0.03525392846619689,-0.07050785693239378,-0.03525392846619689,0
Latin America and Caribbean,2020-02-10,655119303,-0.004522358170509775,1.273000435474168e-4,-5.546316552925202e-4,-0.0024741891345485966,-0.004949714288317263,-0.007531556212452715,-0.008278283614615219,-0.1954981428879498,-0.004072877976832289,0
Asia,2020-02-10,4666863690,-0.009702228912668408,0.011062378930406831,0.009597285275745007,-0.0021996658300411217,-0.024344414927696203,-0.05143720081385269,-0.05826789442278153,-0.9384979023494433,-0.01915301841529476,0.001796859852146228
Oceania,2020-02-10,44446737,0.03329932418521508,0.08078583524176333,0.07216994789691492,0.053127190026932745,0.028804980224426176,0.014692963264948735,0.009350081343694678,0.8628891672646345,0.03751692031585368,0
European Union,2020-02-10,447593544,-0.1538246908476402,-0.1538246908476402,-0.1538246908476402,-0.1538246908476402,-0.1538246908476402,-0.1538246908476402,-0.1538246908476402,-4.153266652886285,-0.1538246908476402,0
North America,2020-02-10,375152636,-0.050796808407342235,-0.050796808407342235,-0.050796808407342235,-0.050796808407342235,-0.050796808407342235,-0.050796808407342235,-0.050796808407342235,-0.10159361681468447,-0.050796808407342235,0
Latin America and Caribbean,2020-02-17,655119303,-0.010762944662720493,-0.006491253624518915,-0.00671093085095325,-0.00930803378378027,-0.011627995994547712,-0.013649005374359636,-0.014900964525343533,-0.5026352210506874,-0.010471567105222653,0
Asia,2020-02-17,4666863690,-0.02641413160107245,-0.0035738185961388083,-0.006226989751139348,-0.02122141739876786,-0.044449757237254785,-0.07581386691882794,-0.08170411893223245,-1.7468950855871088,-0.03565092011402263,0.0026230463997117515
Oceania,2020-02-17,44446737,0.022484303124554714,0.07210411887541542,0.06679330745478293,0.04207686003370719,0.018827426013031452,0.0034226051013451935,-0.00141885842557956,0.6152412272787838,0.02674961857733843,0
European Union,2020-02-17,447593544,-0.23619640534906225,-0.23619640534906225,-0.23619640534906225,-0.23619640534906225,-0.23619640534906225,-0.23619640534906225,-0.23619640534906225,-6.377302944424681,-0.23619640534906225,7.447232825443373e-5
North America,2020-02-17,375152636,-0.025600714750197495,-0.025600714750197495,-0.025600714750197495,-0.025600714750197495,-0.025600714750197495,-0.025600714750197495,-0.025600714750197495,-0.05120142950039499,-0.025600714750197495,0
Latin America and Caribbean,2020-02-24,655119303,-0.023104601775539163,-0.017873972309076912,-0.019587962384837062,-0.02158430035696286,-0.02458806869165221,-0.02831548570146484,-0.028634084772446434,-1.0900928217674566,-0.022710267120155343,0
Asia,2020-02-24,4666863690,-0.022533465439092796,-0.006354296957561919,-0.006811114911777807,-0.02146795343940124,-0.04218251971404842,-0.06704998025715497,-0.08072531517665074,-1.5419961763389236,-0.03146930972120252,0.002311745256909357
Oceania,2020-02-24,44446737,0.033969308850449596,0.08377959538091913,0.0775173537283958,0.05310207064210958,0.02959097220833971,0.011333857468217036,0.009272268644157948,0.87647318767435,0.03810752989888478,0
European Union,2020-02-24,447593544,-0.2319222957317546,-0.2319222957317546,-0.2319222957317546,-0.2319222957317546,-0.2319222957317546,-0.2319222957317546,-0.2319222957317546,-6.261901984757374,-0.2319222957317546,3.9097972333577714e-4
North America,2020-02-24,375152636,0.0028012572326904434,0.0028012572326904434,0.0028012572326904434,0.0028012572326904434,0.0028012572326904434,0.0028012572326904434,0.0028012572326904434,0.005602514465380887,0.0028012572326904434,0
Latin America and Caribbean,2020-03-02,655119303,0.008044940020320416,0.012241040584792121,0.011698809652212098,0.008044940020320416,0.004084174128115193,7.150549245333854e-4,-2.2867171200582402e-4,0.3221786760827887,0.006712055751724765,0
Asia,2020-03-02,4666863690,-0.07734849740107795,-0.06371496612972603,-0.06607326542979192,-0.07734849740107795,-0.1066633194629471,-0.1326707854306041,-0.13816280752556362,-2.6122857504750168,-0.053311954091326864,0.0012259410987853386
Oceania,2020-03-02,44446737,-0.004768195397592234,0.034470637536017416,0.02793704816881623,0.011858168529621621,-0.008799691045927613,-0.02437373171259517,-0.039048072519266896,0.009581308105345965,4.165786132759115e-4,0.0011249419726806942
European Union,2020-03-02,447593544,-0.13228360418431448,-0.13228360418431448,-0.13228360418431448,-0.13228360418431448,-0.13228360418431448,-0.13228360418431448,-0.13228360418431448,-3.5716573129764906,-0.13228360418431448,0.0015002450526855678
North America,2020-03-02,375152636,0.009034389319486559,0.009034389319486559,0.009034389319486559,0.009034389319486559,0.009034389319486559,0.009034389319486559,0.009034389319486559,0.018068778638973118,0.009034389319486559,5.331163393451406e-4
Latin America and Caribbean,2020-03-09,655119303,0.007185587368261014,0.014297953485548728,0.012105533695697463,0.008303915195929318,0.0030372329419518958,-0.0011617186763409795,-0.0015869556204608222,0.2909171945385588,0.006060774886219974,1.5264395285266078e-4
Asia,2020-03-09,4666863690,-0.018028171840693323,-0.012530184521561688,-0.017790943026700808,-0.018028171840693323,-0.058794157480556136,-0.08866636679008838,-0.09919944362719958,-0.6635172166003358,-0.01354116768572114,0.0012703392243281911
Oceania,2020-03-09,44446737,0.0033153207306105244,0.03670466308579791,0.0333863476084879,0.018413818385502583,-0.002869284623578642,-0.018219009702853714,-0.0310368206322457,0.18552223263260575,0.008066184027504596,6.43466808373357e-4
European Union,2020-03-09,447593544,0.14347040509539485,0.14347040509539485,0.14347040509539485,0.14347040509539485,0.14347040509539485,0.14347040509539485,0.14347040509539485,3.8737009375756615,0.14347040509539485,0.01540244140191024
North America,2020-03-09,375152636,0.009925455200962826,0.009925455200962826,0.009925455200962826,0.009925455200962826,0.009925455200962826,0.009925455200962826,0.009925455200962826,0.019850910401925652,0.009925455200962826,8.75910145544066e-4
Latin America and Caribbean,2020-03-16,655119303,-0.01149257522393664,-0.0058985959796791585,-0.006021622921362119,-0.01057941914821636,-0.015782467373472078,-0.018447002025480504,-0.02102152065747465,-0.4177519822309517,-0.008703166296478161,5.467197578006134e-4
