custom_regions,date,population,cumulative_estimated_daily_excess_deaths_per_100k,cumulative_estimated_daily_excess_deaths_ci_95_top_per_100k,cumulative_estimated_daily_excess_deaths_ci_90_top_per_100k,cumulative_estimated_daily_excess_deaths_ci_50_top_per_100k,cumulative_estimated_daily_excess_deaths_ci_50_bot_per_100k,cumulative_estimated_daily_excess_deaths_ci_90_bot_per_100k,cumulative_estimated_daily_excess_deaths_ci_95_bot_per_100k,cumulative_estimated_daily_excess_deaths_raw_estimate_per_100k,cumulative_daily_excess_deaths_per_100k,cumulative_daily_covid_deaths_per_100k
Asia,2020-03-09,4694897197,-1.546303928266218,-0.37944929080943207,-0.6836533855350669,-1.546303928266218,-2.5474978247477726,-3.5876296409797965,-3.6977425615057675,-91.86406380544244,-1.874776812355968,0.07214213342443929
Oceania,2020-03-09,45038907,0.7070840686773278,3.7401478069070677,3.533114914062274,1.880416579703539,0.3405391635261195,-0.26339558579616024,-0.5553025183143325,18.45147197012145,0.7688113320883938,0.00889009140474923
European Union,2020-03-09,450146793,-6.256446036511533,-6.256446036511533,-6.256446036511533,-6.256446036511533,-6.256446036511533,-6.256446036511533,-6.256446036511533,-168.92404298581138,-6.256446036511533,0.09402910485691275
North America,2020-03-09,376744184,-0.9946734606752727,-0.9946734606752727,-0.9946734606752727,-0.9946734606752727,-0.9946734606752727,-0.9946734606752727,-0.9946734606752727,-1.9893469213505455,-0.9946734606752727,0.006371166701275472
Latin America and Caribbean,2020-03-16,660385158,-0.7840993255728863,-0.6102616703240322,-0.6445941918786852,-0.7429282019940767,-0.9156938643555069,-1.027731193488661,-1.125671663254491,-38.378153003354186,-0.7380414039106575,0.0030294442201864264
Asia,2020-03-16,4694897197,-1.647512088217748,-0.1617947145790942,-0.8818965051313276,-1.647512088217748,-2.8345019977042027,-3.9470895065293594,-4.102287201470753,-98.66896872766092,-2.0136524230134887,0.08681785412904325
Oceania,2020-03-16,45038907,0.9970867713538997,4.292059175980869,4.105889752273496,2.302314048087701,0.5810650776115904,-0.06445536489986967,-0.4016296078481382,25.599884375122908,1.0666618489634545,0.015557659958311156
European Union,2020-03-16,450146793,-2.4675459023676862,-2.4675459023676862,-2.4675459023676862,-2.4675459023676862,-2.4675459023676862,-2.4675459023676862,-2.4675459023676862,-66.62373936392751,-2.4675459023676862,0.5616570059624972
North America,2020-03-16,376744184,-0.6249134731528398,-0.6249134731528398,-0.6249134731528398,-0.6249134731528398,-0.6249134731528398,-0.6249134731528398,-0.6249134731528398,-1.2498269463056797,-0.6249134731528398,0.022032456909805938
Latin America and Caribbean,2020-03-23,660385158,-0.48390264830401186,-0.31033231655477084,-0.3651766724983902,-0.47593076156558656,-0.670456799557308,-0.820919381135702,-0.9407418305428629,-23.03459651779807,-0.44297300995765526,0.014992462928732266
Asia,2020-03-23,4694897197,-1.661081117357876,-0.24680756291511766,-0.848282673074161,-1.661081117357876,-2.9959605027850236,-4.008053798439159,-4.712271860340129,-93.9249503626973,-1.9168357216877001,0.11233538837378722
Oceania,2020-03-23,45038907,1.2959014487429346,4.866418999315928,4.721278915162628,2.72957656088696,0.8471008470099011,0.14615286482946865,-0.13825288227845953,33.52629079316738,1.3969287830486408,0.02222522851187308
European Union,2020-03-23,450146793,4.28475199611388,4.28475199611388,4.28475199611388,4.28475199611388,4.28475199611388,4.28475199611388,4.28475199611388,115.68830389507477,4.28475199611388,2.311531074264479
North America,2020-03-23,376744184,0.9796897309539239,0.9796897309539239,0.9796897309539239,0.9796897309539239,0.9796897309539239,0.9796897309539239,0.9796897309539239,1.9593794619078477,0.9796897309539239,0.13298254393225084
Latin America and Caribbean,2020-03-30,660385158,0.2778774689881242,0.48805297140971393,0.40586868682045657,0.27815318170428777,0.060934082396204986,-0.11348529629778653,-0.25539744122688185,18.328967320295764,0.35248014077491857,0.07192969046103244
Asia,2020-03-30,4694897197,-2.1253502631246093,-0.5366805723215312,-0.74682022046130625,-2.1253502631246093,-3.501263147745943,-4.895441576037907,-5.661827217883885,-96.14313873305791,-1.9621048721032226,0.14224087812332134
Oceania,2020-03-30,45038907,1.7269528410577866,5.558648525917266,5.451903232847363,3.2277701984339693,1.2669801648863386,0.5267332880781018,0.2698722715881079,45.41726944206105,1.8923862267525435,0.046657437757093
European Union,2020-03-30,450146793,12.343859160256482,12.343859160256482,12.343859160256482,12.343859160256482,12.343859160256482,12.343859160256482,12.343859160256482,333.284197326925,12.343859160256482,6.011431031121441
North America,2020-03-30,376744184,5.18473122079145,5.18473122079145,5.18473122079145,5.18473122079145,5.18473122079145,5.18473122079145,5.18473122079145,10.3694624415829,5.18473122079145,0.7174632322923928
Latin America and Caribbean,2020-04-06,660385158,1.0961468804934749,1.3369251225654444,1.242665964058496,1.0961468804934749,0.8405841740555388,0.621713659200565,0.4676125535329431,62.55517105924852,1.2029840588317025,0.23259623287899514
Asia,2020-04-06,4694897197,-2.4358666463484426,-0.03172046374585156,-0.38205291067042024,-2.4358666463484426,-3.9696457702429515,-5.492702478541105,-6.565737133264679,-97.81813174616028,-1.9962884029828627,0.1836689630927397
Oceania,2020-04-06,45038907,1.9721188057449572,6.132117663726855,6.036755966238763,3.526474472869868,1.5456792777043582,0.7061956667999333,0.4808898846901994,52.08658926047702,2.1702745525198757,0.10439640553444159
European Union,2020-04-06,450146793,19.341783600389327,19.341783600389327,19.341783600389327,19.341783600389327,19.341783600389327,19.341783600389327,19.341783600389327,522.2281572105118,19.341783600389327,10.592607954001352
North America,2020-04-06,376744184,11.399730746238655,11.399730746238655,11.399730746238655,11.399730746238655,11.399730746238655,11.399730746238655,11.399730746238655,22.79946149247731,11.399730746238655,2.7920815892409374
Latin America and Caribbean,2020-04-13,660385158,1.91801034835765,2.1982472601467564,2.0913799812637435,1.91801034835765,1.6261368907261704,1.3653940528733728,1.2087975010309167,107.52811074064243,2.0678482834738934,0.5642239161286541
Asia,2020-04-13,4694897197,-2.809930133215812,-0.16331748266863547,-0.4093856774639706,-2.809930133215812,-4.570240809620407,-6.059957679197836,-7.492641671564112,-99.98394956400436,-2.0404887666123344,0.2340004379013882
Oceania,2020-04-13,45038907,2.0347139495570943,6.716022950746488,6.304017904518278,3.6509209422085247,1.6315106796307162,0.7299423408558707,0.42517250353408775,54.53555799444062,2.272314916435026,0.1665648768963243
European Union,2020-04-13,450146793,24.098483587324733,24.098483587324733,24.098483587324733,24.098483587324733,24.098483587324733,24.098483587324733,24.098483587324733,650.6590568577678,24.098483587324733,14.825230133317865
North America,2020-04-13,376744184,17.316862368833213,17.316862368833213,17.316862368833213,17.316862368833213,17.316862368833213,17.316862368833213,17.316862368833213,34.63372473766643,17.316862368833213,6.763477468838643
Latin America and Caribbean,2020-04-20,660385158,3.0395289820789357,3.357586641423747,3.2544762483994476,3.0395289820789357,2.7009106004959986,2.3927444608074286,2.2527825531116656,167.5882661364351,3.222851271854522,1.0842262145449368
Asia,2020-04-20,4694897197,-3.1468173965074886,-0.35648836018475066,-0.5086264928086043,-3.1468173965074886,-5.1167089434727355,-6.838076081097443,-8.421816768095656,-103.27901511135948,-2.107735002272643,0.31276699752622933
Oceania,2020-04-20,45038907,1.9987732448703517,6.85623479160767,6.407976400053722,3.7582360227938363,1.5948859512723037,0.6084617593649329,0.258145151436561,54.41608074013903,2.2673366975057934,0.20652366186417445
European Union,2020-04-20,450146793,26.689712187685135,26.689712187685135,26.689712187685135,26.689712187685135,26.689712187685135,26.689712187685135,26.689712187685135,720.6222290674986,26.689712187685135,18.361629203032
North America,2020-04-20,376744184,22.725903865211013,22.725903865211013,22.725903865211013,22.725903865211013,22.725903865211013,22.725903865211013,22.725903865211013,45.451807730422026,22.725903865211013,11.107539220831077
Latin America and Caribbean,2020-04-27,660385158,4.451856982654461,4.810251779280592,4.700878242815401,4.451856982654461,4.080942065589885,3.6948169693602178,3.57843912926889,242.67933676871687,4.6669103224753234,1.9032965607624996
